"year";"segment";"revenue";"operating_income";"prev_revenue";"prev_income";"revenue_growth";"income_growth"
2015;"AWS";7880.0;1863.0;0.0;0.0;0.0;0.0
2016;"AWS";12219.0;3108.0;7880.0;1863.0;0.5506345177664974;0.6682769726247987
2017;"AWS";17459.0;4331.0;12219.0;3108.0;0.42884033063262134;0.3935006435006435
2018;"AWS";25655.0;7296.0;17459.0;4331.0;0.46944269431238905;0.684599399676749
2019;"AWS";35026.0;9201.0;25655.0;7296.0;0.36526992788930035;0.2611019736842105
2020;"AWS";45370.0;13531.0;35026.0;9201.0;0.2953234739907497;0.4706010216280839
2021;"AWS";62202.0;18532.0;45370.0;13531.0;0.3709940489310117;0.3695957431084177
2022;"AWS";80096.0;22841.0;62202.0;18532.0;0.2876756374393106;0.23251672782214547
2023;"AWS";90757.0;24631.0;80096.0;22841.0;0.1331027766679984;0.07836784729215009
2015;"International";35418.0;-91.0;0.0;0.0;0.0;0.0
2016;"International";43983.0;-1283.0;35418.0;-91.0;0.2418261900728443;13.098901098901099
2017;"International";54297.0;-3062.0;43983.0;-1283.0;0.234499693063229;1.386593920498831
2018;"International";65866.0;-2142.0;54297.0;-3062.0;0.21306886199974215;-0.30045721750489873
2019;"International";74723.0;-1693.0;65866.0;-2142.0;0.1344699845140133;-0.2096171802054155
2020;"International";104412.0;717.0;74723.0;-1693.0;0.3973207713823053;-1.4235085646780863
2021;"International";127787.0;-924.0;104412.0;717.0;0.22387273493468185;-2.288702928870293
2022;"International";118007.0;-7746.0;127787.0;-924.0;-0.07653360670490739;7.383116883116883
2023;"International";131200.0;-2656.0;118007.0;-7746.0;0.11179845263416577;-0.6571133488252001
2015;"North America";63708.0;2751.0;0.0;0.0;0.0;0.0
2016;"North America";79785.0;2361.0;63708.0;2751.0;0.2523544923714447;-0.14176663031624864
2017;"North America";106110.0;2837.0;79785.0;2361.0;0.3299492385786802;0.20160948750529437
2018;"North America";141366.0;7267.0;106110.0;2837.0;0.3322589765337857;1.561508635882975
2019;"North America";170773.0;7033.0;141366.0;7267.0;0.2080203160590241;-0.03220035778175313
2020;"North America";236282.0;8651.0;170773.0;7033.0;0.38360279435273725;0.23005829660173469
2021;"North America";279833.0;7271.0;236282.0;8651.0;0.1843178913332374;-0.15951913073633106
2022;"North America";315880.0;-2847.0;279833.0;7271.0;0.12881611532592654;-1.391555494429927
2023;"North America";352828.0;14877.0;315880.0;-2847.0;0.11696846903887552;-6.22550052687039
