"year";"segment";"revenue";"operating_income";"total_revenue";"total_income";"revenue_share";"segment_margin";"profit_share"
2015;"AWS";7880.0;1863.0;107006.0;4523.0;0.07364073042633124;0.23642131979695433;0.41189476011496795
2015;"North America";63708.0;2751.0;107006.0;4523.0;0.5953684840102424;0.0431813900922961;0.6082246296705727
2015;"International";35418.0;-91.0;107006.0;4523.0;0.33099078556342637;-0.0025693150375515274;-0.02011938978554057
2016;"AWS";12219.0;3108.0;135987.0;4186.0;0.08985417723753006;0.25435796710041736;0.7424749163879598
2016;"North America";79785.0;2361.0;135987.0;4186.0;0.5867104943854927;0.02959202857680015;0.564022933588151
2016;"International";43983.0;-1283.0;135987.0;4186.0;0.3234353283769772;-0.029170361275947524;-0.30649784997611085
2017;"AWS";17459.0;4331.0;177866.0;4106.0;0.09815816401110948;0.24806689959333295;1.0547978567949343
2017;"North America";106110.0;2837.0;177866.0;4106.0;0.5965727007972293;0.02673640561681274;0.6909400876765709
2017;"International";54297.0;-3062.0;177866.0;4106.0;0.30526913519166116;-0.05639353923789528;-0.7457379444715051
2018;"AWS";25655.0;7296.0;232887.0;12421.0;0.11016072172341093;0.2843890079906451;0.5873923194589807
2018;"North America";141366.0;7267.0;232887.0;12421.0;0.6070154194952917;0.05140557135379087;0.5850575638032365
2018;"International";65866.0;-2142.0;232887.0;12421.0;0.28282385878129734;-0.032520572070567515;-0.17244988326221722
2019;"AWS";35026.0;9201.0;280522.0;14541.0;0.12486008227518697;0.2626905727174099;0.6327625335258923
2019;"North America";170773.0;7033.0;280522.0;14541.0;0.6087686527259895;0.04118332523291152;0.48366687297985006
2019;"International";74723.0;-1693.0;280522.0;14541.0;0.26637126499882363;-0.022657013235549965;-0.11642940650574238
2020;"AWS";45370.0;13531.0;386064.0;22899.0;0.11751937502590244;0.29823672029975756;0.5908991659024412
2020;"North America";236282.0;8651.0;386064.0;22899.0;0.612028057524141;0.0366130301927358;0.3777894231189135
2020;"International";104412.0;717.0;386064.0;22899.0;0.2704525674499565;0.006867026778531203;0.03131141097864536
2021;"AWS";62202.0;18532.0;469822.0;24879.0;0.1323948218687077;0.2979325423619819;0.7448852445837856
2021;"North America";279833.0;7271.0;469822.0;24879.0;0.5956149350179429;0.025983354357777676;0.2922545118372925
2021;"International";127787.0;-924.0;469822.0;24879.0;0.2719902431133493;-0.007230782473960575;-0.037139756421078016
2022;"AWS";80096.0;22841.0;513983.0;12248.0;0.15583394781539467;0.2851702956452257;1.8648758981058131
2022;"North America";315880.0;-2847.0;513983.0;12248.0;0.6145728555224589;-0.009012916297328099;-0.23244611365120835
2022;"International";118007.0;-7746.0;513983.0;12248.0;0.22959319666214642;-0.06564017388798969;-0.6324297844546048
2023;"AWS";90757.0;24631.0;574785.0;36852.0;0.15789730072983812;0.27139504390845887;0.668376207532834
2023;"North America";352828.0;14877.0;574785.0;36852.0;0.6138434371112677;0.04216502091670729;0.40369586453923806
2023;"International";131200.0;-2656.0;574785.0;36852.0;0.2282592621588942;-0.02024390243902439;-0.07207207207207207
