year,segment,revenue,operating_income
2023,AWS,90757,24631
2023,North America,352828,14877
2023,International,131200,-2656
2022,AWS,80096,22841
2022,North America,315880,-2847
2022,International,118007,-7746
2021,AWS,62202,18532
2021,North America,279833,7271
2021,International,127787,-924
2020,AWS,45370,13531
2020,North America,236282,8651
2020,International,104412,717
2019,AWS,35026,9201
2019,North America,170773,7033
2019,International,74723,-1693
2018,AWS,25655,7296
2018,North America,141366,7267
2018,International,65866,-2142
2017,AWS,17459,4331
2017,North America,106110,2837
2017,International,54297,-3062
2016,AWS,12219,3108
2016,North America,79785,2361
2016,International,43983,-1283
2015,AWS,7880,1863
2015,North America,63708,2751
2015,International,35418,-91
